mode,trial,batch_size,file_index,file_path,page_count,llm_model,embed_model,ingest_duration_sec,nodes_created,relationships_created,chunks_indexed,status,error_message
isolated,1,1,1,/Users/aimet/Zotero/Zotero/storage/M3CPJE8A/Lei et al. - 2025 - D-SMART Enhancing LLM Dialogue Consistency via Dynamic Structured Memory And Reasoning Tree.pdf,25,ollama/gemma3:latest,ollama/nomic-embed-text:latest,1242.39,354,710,40,SUCCESS,
isolated,1,3,1,/Users/aimet/Zotero/Zotero/storage/M3CPJE8A/Lei et al. - 2025 - D-SMART Enhancing LLM Dialogue Consistency via Dynamic Structured Memory And Reasoning Tree.pdf,25,ollama/gemma3:latest,ollama/nomic-embed-text:latest,1236.085,354,710,40,SUCCESS,
isolated,1,3,2,/Users/aimet/Zotero/Zotero/storage/U7G8IEMX/He et al. - 2024 - What Matters in Transformers Not All Attention is.pdf,20,ollama/gemma3:latest,ollama/nomic-embed-text:latest,1388.912,351,753,28,SUCCESS,
isolated,1,3,3,/Users/aimet/Zotero/Zotero/storage/F2R3XZ3Q/Fan et al. - 2024 - Graph Machine Learning in the Era of Large Languag.pdf,21,ollama/gemma3:latest,ollama/nomic-embed-text:latest,1800.012,0,0,0,TIMEOUT,Exceeded file_timeout_sec=1800.0
isolated,1,5,1,/Users/aimet/Zotero/Zotero/storage/M3CPJE8A/Lei et al. - 2025 - D-SMART Enhancing LLM Dialogue Consistency via Dynamic Structured Memory And Reasoning Tree.pdf,25,ollama/gemma3:latest,ollama/nomic-embed-text:latest,1800.005,0,0,0,TIMEOUT,Exceeded file_timeout_sec=1800.0
isolated,1,5,2,/Users/aimet/Zotero/Zotero/storage/U7G8IEMX/He et al. - 2024 - What Matters in Transformers Not All Attention is.pdf,20,ollama/gemma3:latest,ollama/nomic-embed-text:latest,1703.981,351,753,28,SUCCESS,
isolated,1,5,3,/Users/aimet/Zotero/Zotero/storage/F2R3XZ3Q/Fan et al. - 2024 - Graph Machine Learning in the Era of Large Languag.pdf,21,ollama/gemma3:latest,ollama/nomic-embed-text:latest,1799.995,0,0,0,TIMEOUT,Exceeded file_timeout_sec=1800.0
isolated,1,5,4,/Users/aimet/Zotero/Zotero/storage/TMMPCSWY/Pornvoraphat et al. - 2026 - AERO-Net AutoEncoder-driven residual optimization network for latent bias correction of WRF-ROMS.pdf,12,ollama/gemma3:latest,ollama/nomic-embed-text:latest,1020.21,294,617,28,SUCCESS,
isolated,1,5,5,/Users/aimet/Zotero/Zotero/storage/44JTPPXT/Gujarati et al. - 2017 - Swayam distributed autoscaling to meet SLAs of ma.pdf,12,ollama/gemma3:latest,ollama/nomic-embed-text:latest,873.298,245,566,33,SUCCESS,
isolated,1,10,1,/Users/aimet/Zotero/Zotero/storage/M3CPJE8A/Lei et al. - 2025 - D-SMART Enhancing LLM Dialogue Consistency via Dynamic Structured Memory And Reasoning Tree.pdf,25,ollama/gemma3:latest,ollama/nomic-embed-text:latest,1259.168,354,710,40,SUCCESS,
isolated,1,10,2,/Users/aimet/Zotero/Zotero/storage/U7G8IEMX/He et al. - 2024 - What Matters in Transformers Not All Attention is.pdf,20,ollama/gemma3:latest,ollama/nomic-embed-text:latest,1392.301,351,753,28,SUCCESS,
isolated,1,10,3,/Users/aimet/Zotero/Zotero/storage/F2R3XZ3Q/Fan et al. - 2024 - Graph Machine Learning in the Era of Large Languag.pdf,21,ollama/gemma3:latest,ollama/nomic-embed-text:latest,1800.013,0,0,0,TIMEOUT,Exceeded file_timeout_sec=1800.0
isolated,1,10,4,/Users/aimet/Zotero/Zotero/storage/TMMPCSWY/Pornvoraphat et al. - 2026 - AERO-Net AutoEncoder-driven residual optimization network for latent bias correction of WRF-ROMS.pdf,12,ollama/gemma3:latest,ollama/nomic-embed-text:latest,1029.944,294,617,28,SUCCESS,
isolated,1,10,5,/Users/aimet/Zotero/Zotero/storage/44JTPPXT/Gujarati et al. - 2017 - Swayam distributed autoscaling to meet SLAs of ma.pdf,12,ollama/gemma3:latest,ollama/nomic-embed-text:latest,869.996,245,566,33,SUCCESS,
isolated,1,10,6,/Users/aimet/Zotero/Zotero/storage/5Y76ZD5W/Li et al. - 2024 - StreamingDialogue Prolonged Dialogue Learning via.pdf,12,ollama/gemma3:latest,ollama/nomic-embed-text:latest,713.274,190,370,23,SUCCESS,
isolated,1,10,7,/Users/aimet/Zotero/Zotero/storage/MU44IEAU/Pandey and Kwon - 2024 - FuncMem Reducing Cold Start Latency in Serverless.pdf,8,ollama/gemma3:latest,ollama/nomic-embed-text:latest,580.636,146,316,19,SUCCESS,
isolated,1,10,8,/Users/aimet/Zotero/Zotero/storage/TKFYXH8H/Li et al. - 2022 - DISSEC A distributed deep neural network inferenc.pdf,12,ollama/gemma3:latest,ollama/nomic-embed-text:latest,686.258,198,474,25,SUCCESS,
isolated,1,10,9,/Users/aimet/Zotero/Zotero/storage/X3XFZTQF/Wen - 2025 - The Missing Reward Active Inference in the Era of Experience.pdf,16,ollama/gemma3:latest,ollama/nomic-embed-text:latest,869.688,312,461,19,SUCCESS,
isolated,1,10,10,/Users/aimet/Zotero/Zotero/storage/JJ9VKFIX/Yasunaga et al. - 2022 - Deep Bidirectional Language-Knowledge Graph Pretra.pdf,19,ollama/gemma3:latest,ollama/nomic-embed-text:latest,1178.688,381,713,32,SUCCESS,
